Model;Table;Column/Measure;Script;Extra Parameters
TAB_Inventory_Insights;A_Inventory;Ad_Exchange_Impressions;M_Summarization;Numeric
TAB_Inventory_Insights;A_Inventory;Ad_Server_Clicks;M_Summarization;Numeric
TAB_Inventory_Insights;A_Inventory;Ad_Server_Impressions;M_Summarization;Numeric
TAB_Inventory_Insights;A_Inventory;Ad_Requests;M_Summarization;Numeric
TAB_Inventory_Insights;A_Inventory;Code_Served;M_Summarization;Numeric
TAB_Inventory_Insights;A_Inventory;Ad_Exchange_Active_View_Viewable_Impressions;M_Summarization;Numeric
TAB_Inventory_Insights;A_Inventory;Ad_Server_Active_View_Viewable_Impressions;M_Summarization;Numeric
TAB_Inventory_Insights;A_Inventory_Hourly;Ad_Exchange_Clicks_Hourly;M_Summarization;Numeric
TAB_Inventory_Insights;A_Inventory_Hourly;Ad_Exchange_Impressions_Hourly;M_Summarization;Numeric
TAB_Inventory_Insights;A_Inventory_Hourly;Ad_Server_Clicks_Hourly;M_Summarization;Numeric
TAB_Inventory_Insights;A_Inventory_Hourly;Ad_Server_Impressions_Hourly;M_Summarization;Numeric
TAB_Inventory_Insights;A_Inventory_Hourly;Impressions_Hourly;M_Summarization;Numeric
TAB_Inventory_Insights;A_Inventory_Hourly;Clicks_Hourly;M_Summarization;Numeric
TAB_Inventory_Insights;N/A;Clicks;M_Custom;[M_Ad_Exchange_Clicks] + [M_Ad_Server_Clicks]
TAB_Inventory_Insights;N/A;Impressions;M_Custom;[M_Ad_Exchange_Impressions] + [M_Ad_Server_Impressions]
TAB_Inventory_Insights;N/A;Click-Through_Rate;M_Custom;DIVIDE([M_Ad_Exchange_Clicks] + [M_Ad_Server_Clicks], [M_Ad_Exchange_Impressions] + [M_Ad_Server_Impressions])^^Percent
TAB_Inventory_Insights;N/A;Fill_Rate;M_Custom;DIVIDE([M_Code_Served], [M_Ad_Requests])^^Percent
TAB_Inventory_Insights;N/A;Render_Rate;M_Custom;DIVIDE([M_Impressions], [M_Code_Served])^^Percent
TAB_Inventory_Insights;N/A;Delivery_Rate;M_Custom;[M_Fill_Rate] * [M_Render_Rate]^^Percent
TAB_Inventory_Insights;N/A;Viewable_Impressions;M_Custom;[M_Ad_Exchange_Active_View_Viewable_Impressions] + [M_Ad_Server_Active_View_Viewable_Impressions]
TAB_Inventory_Insights;N/A;Viewability_Rate;M_Custom;DIVIDE([M_Viewable_Impressions], [M_Impressions])^^Percent
TAB_Inventory_Insights;N/A;Impressions_Hourly_NoBlank;M_Custom;VAR _MaxHour = CALCULATE(MAX(A_Inventory_Hourly[Hour]), REMOVEFILTERS(D_Time[Hour])) VAR _CurrentHour = MAX(D_Time[Hour]) VAR _LastFactDate = CALCULATE(MAX(A_Inventory_Hourly[Date]), REMOVEFILTERS()) VAR _CurrentDate = MAX(D_DAte[Date_Date]) VAR _DynamicDates = SUMMARIZE(CALCULATETABLE(D_Date, USERELATIONSHIP(D_Date[Date_Date], D_Date_DynamicPeriods[Date])), D_Date[Date_Date]) VAR _ForceZero = _CurrentDate <= _LastFactDate && _CurrentDate in _DynamicDates && IF(_LastFactDate = _CurrentDate, _CurrentHour <= _MaxHour, True) VAR _Result = [M_Impressions_Hourly] + IF(_ForceZero, 0) RETURN _Result
TAB_Inventory_Insights;N/A;Ad_Exchange_Clicks;M_Analytics;^^SWITCH(TRUE(), AND(ISINSCOPE(A_Inventory[Ad_Unit_1]),ISBLANK(VALUES(A_Inventory[Ad_Unit_1]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_2]),ISBLANK(VALUES(A_Inventory[Ad_Unit_2]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_3]),ISBLANK(VALUES(A_Inventory[Ad_Unit_3]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_4]),ISBLANK(VALUES(A_Inventory[Ad_Unit_4]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_5]),ISBLANK(VALUES(A_Inventory[Ad_Unit_5]))),BLANK(), SELECTEDMEASURE())
TAB_Inventory_Insights;N/A;Ad_Exchange_Impressions;M_Analytics;^^SWITCH(TRUE(), AND(ISINSCOPE(A_Inventory[Ad_Unit_1]),ISBLANK(VALUES(A_Inventory[Ad_Unit_1]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_2]),ISBLANK(VALUES(A_Inventory[Ad_Unit_2]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_3]),ISBLANK(VALUES(A_Inventory[Ad_Unit_3]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_4]),ISBLANK(VALUES(A_Inventory[Ad_Unit_4]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_5]),ISBLANK(VALUES(A_Inventory[Ad_Unit_5]))),BLANK(), SELECTEDMEASURE())
TAB_Inventory_Insights;N/A;Ad_Server_Clicks;M_Analytics;^^SWITCH(TRUE(), AND(ISINSCOPE(A_Inventory[Ad_Unit_1]),ISBLANK(VALUES(A_Inventory[Ad_Unit_1]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_2]),ISBLANK(VALUES(A_Inventory[Ad_Unit_2]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_3]),ISBLANK(VALUES(A_Inventory[Ad_Unit_3]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_4]),ISBLANK(VALUES(A_Inventory[Ad_Unit_4]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_5]),ISBLANK(VALUES(A_Inventory[Ad_Unit_5]))),BLANK(), SELECTEDMEASURE())
TAB_Inventory_Insights;N/A;Ad_Server_Impressions;M_Analytics;^^SWITCH(TRUE(), AND(ISINSCOPE(A_Inventory[Ad_Unit_1]),ISBLANK(VALUES(A_Inventory[Ad_Unit_1]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_2]),ISBLANK(VALUES(A_Inventory[Ad_Unit_2]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_3]),ISBLANK(VALUES(A_Inventory[Ad_Unit_3]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_4]),ISBLANK(VALUES(A_Inventory[Ad_Unit_4]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_5]),ISBLANK(VALUES(A_Inventory[Ad_Unit_5]))),BLANK(), SELECTEDMEASURE())
TAB_Inventory_Insights;N/A;Ad_Requests;M_Analytics;^^SWITCH(TRUE(), AND(ISINSCOPE(A_Inventory[Ad_Unit_1]),ISBLANK(VALUES(A_Inventory[Ad_Unit_1]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_2]),ISBLANK(VALUES(A_Inventory[Ad_Unit_2]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_3]),ISBLANK(VALUES(A_Inventory[Ad_Unit_3]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_4]),ISBLANK(VALUES(A_Inventory[Ad_Unit_4]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_5]),ISBLANK(VALUES(A_Inventory[Ad_Unit_5]))),BLANK(), SELECTEDMEASURE())
TAB_Inventory_Insights;N/A;Code_Served;M_Analytics;^^SWITCH(TRUE(), AND(ISINSCOPE(A_Inventory[Ad_Unit_1]),ISBLANK(VALUES(A_Inventory[Ad_Unit_1]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_2]),ISBLANK(VALUES(A_Inventory[Ad_Unit_2]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_3]),ISBLANK(VALUES(A_Inventory[Ad_Unit_3]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_4]),ISBLANK(VALUES(A_Inventory[Ad_Unit_4]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_5]),ISBLANK(VALUES(A_Inventory[Ad_Unit_5]))),BLANK(), SELECTEDMEASURE())
TAB_Inventory_Insights;N/A;Ad_Exchange_Clicks_Hourly;M_Analytics;^^SWITCH(TRUE(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_1]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_1]))),BLANK(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_2]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_2]))),BLANK(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_3]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_3]))),BLANK(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_4]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_4]))),BLANK(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_5]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_5]))),BLANK(), SELECTEDMEASURE())
TAB_Inventory_Insights;N/A;Ad_Exchange_Impressions_Hourly;M_Analytics;^^SWITCH(TRUE(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_1]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_1]))),BLANK(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_2]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_2]))),BLANK(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_3]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_3]))),BLANK(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_4]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_4]))),BLANK(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_5]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_5]))),BLANK(), SELECTEDMEASURE())
TAB_Inventory_Insights;N/A;Ad_Server_Clicks_Hourly;M_Analytics;^^SWITCH(TRUE(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_1]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_1]))),BLANK(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_2]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_2]))),BLANK(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_3]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_3]))),BLANK(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_4]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_4]))),BLANK(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_5]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_5]))),BLANK(), SELECTEDMEASURE())
TAB_Inventory_Insights;N/A;Ad_Server_Impressions_Hourly;M_Analytics;^^SWITCH(TRUE(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_1]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_1]))),BLANK(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_2]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_2]))),BLANK(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_3]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_3]))),BLANK(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_4]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_4]))),BLANK(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_5]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_5]))),BLANK(), SELECTEDMEASURE())
TAB_Inventory_Insights;N/A;Clicks;M_Analytics;^^SWITCH(TRUE(), AND(ISINSCOPE(A_Inventory[Ad_Unit_1]),ISBLANK(VALUES(A_Inventory[Ad_Unit_1]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_2]),ISBLANK(VALUES(A_Inventory[Ad_Unit_2]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_3]),ISBLANK(VALUES(A_Inventory[Ad_Unit_3]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_4]),ISBLANK(VALUES(A_Inventory[Ad_Unit_4]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_5]),ISBLANK(VALUES(A_Inventory[Ad_Unit_5]))),BLANK(), SELECTEDMEASURE())
TAB_Inventory_Insights;N/A;Impressions;M_Analytics;^^SWITCH(TRUE(), AND(ISINSCOPE(A_Inventory[Ad_Unit_1]),ISBLANK(VALUES(A_Inventory[Ad_Unit_1]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_2]),ISBLANK(VALUES(A_Inventory[Ad_Unit_2]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_3]),ISBLANK(VALUES(A_Inventory[Ad_Unit_3]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_4]),ISBLANK(VALUES(A_Inventory[Ad_Unit_4]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_5]),ISBLANK(VALUES(A_Inventory[Ad_Unit_5]))),BLANK(), SELECTEDMEASURE())
TAB_Inventory_Insights;N/A;Click-Through_Rate;M_Analytics;^^SWITCH(TRUE(), AND(ISINSCOPE(A_Inventory[Ad_Unit_1]),ISBLANK(VALUES(A_Inventory[Ad_Unit_1]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_2]),ISBLANK(VALUES(A_Inventory[Ad_Unit_2]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_3]),ISBLANK(VALUES(A_Inventory[Ad_Unit_3]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_4]),ISBLANK(VALUES(A_Inventory[Ad_Unit_4]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_5]),ISBLANK(VALUES(A_Inventory[Ad_Unit_5]))),BLANK(), SELECTEDMEASURE())
TAB_Inventory_Insights;N/A;Fill_Rate;M_Analytics;^^SWITCH(TRUE(), AND(ISINSCOPE(A_Inventory[Ad_Unit_1]),ISBLANK(VALUES(A_Inventory[Ad_Unit_1]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_2]),ISBLANK(VALUES(A_Inventory[Ad_Unit_2]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_3]),ISBLANK(VALUES(A_Inventory[Ad_Unit_3]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_4]),ISBLANK(VALUES(A_Inventory[Ad_Unit_4]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_5]),ISBLANK(VALUES(A_Inventory[Ad_Unit_5]))),BLANK(), SELECTEDMEASURE())
TAB_Inventory_Insights;N/A;Render_Rate;M_Analytics;^^SWITCH(TRUE(), AND(ISINSCOPE(A_Inventory[Ad_Unit_1]),ISBLANK(VALUES(A_Inventory[Ad_Unit_1]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_2]),ISBLANK(VALUES(A_Inventory[Ad_Unit_2]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_3]),ISBLANK(VALUES(A_Inventory[Ad_Unit_3]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_4]),ISBLANK(VALUES(A_Inventory[Ad_Unit_4]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_5]),ISBLANK(VALUES(A_Inventory[Ad_Unit_5]))),BLANK(), SELECTEDMEASURE())
TAB_Inventory_Insights;N/A;Delivery_Rate;M_Analytics;^^SWITCH(TRUE(), AND(ISINSCOPE(A_Inventory[Ad_Unit_1]),ISBLANK(VALUES(A_Inventory[Ad_Unit_1]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_2]),ISBLANK(VALUES(A_Inventory[Ad_Unit_2]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_3]),ISBLANK(VALUES(A_Inventory[Ad_Unit_3]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_4]),ISBLANK(VALUES(A_Inventory[Ad_Unit_4]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_5]),ISBLANK(VALUES(A_Inventory[Ad_Unit_5]))),BLANK(), SELECTEDMEASURE())
TAB_Inventory_Insights;N/A;Viewable_Impressions;M_Analytics;^^SWITCH(TRUE(), AND(ISINSCOPE(A_Inventory[Ad_Unit_1]),ISBLANK(VALUES(A_Inventory[Ad_Unit_1]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_2]),ISBLANK(VALUES(A_Inventory[Ad_Unit_2]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_3]),ISBLANK(VALUES(A_Inventory[Ad_Unit_3]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_4]),ISBLANK(VALUES(A_Inventory[Ad_Unit_4]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_5]),ISBLANK(VALUES(A_Inventory[Ad_Unit_5]))),BLANK(), SELECTEDMEASURE())
TAB_Inventory_Insights;N/A;Ad_Exchange_Active_View_Viewable_Impressions;M_Analytics;^^SWITCH(TRUE(), AND(ISINSCOPE(A_Inventory[Ad_Unit_1]),ISBLANK(VALUES(A_Inventory[Ad_Unit_1]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_2]),ISBLANK(VALUES(A_Inventory[Ad_Unit_2]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_3]),ISBLANK(VALUES(A_Inventory[Ad_Unit_3]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_4]),ISBLANK(VALUES(A_Inventory[Ad_Unit_4]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_5]),ISBLANK(VALUES(A_Inventory[Ad_Unit_5]))),BLANK(), SELECTEDMEASURE())
TAB_Inventory_Insights;N/A;Ad_Server_Active_View_Viewable_Impressions;M_Analytics;^^SWITCH(TRUE(), AND(ISINSCOPE(A_Inventory[Ad_Unit_1]),ISBLANK(VALUES(A_Inventory[Ad_Unit_1]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_2]),ISBLANK(VALUES(A_Inventory[Ad_Unit_2]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_3]),ISBLANK(VALUES(A_Inventory[Ad_Unit_3]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_4]),ISBLANK(VALUES(A_Inventory[Ad_Unit_4]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_5]),ISBLANK(VALUES(A_Inventory[Ad_Unit_5]))),BLANK(), SELECTEDMEASURE())
TAB_Inventory_Insights;N/A;Viewability_Rate;M_Analytics;^^SWITCH(TRUE(), AND(ISINSCOPE(A_Inventory[Ad_Unit_1]),ISBLANK(VALUES(A_Inventory[Ad_Unit_1]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_2]),ISBLANK(VALUES(A_Inventory[Ad_Unit_2]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_3]),ISBLANK(VALUES(A_Inventory[Ad_Unit_3]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_4]),ISBLANK(VALUES(A_Inventory[Ad_Unit_4]))),BLANK(), AND(ISINSCOPE(A_Inventory[Ad_Unit_5]),ISBLANK(VALUES(A_Inventory[Ad_Unit_5]))),BLANK(), SELECTEDMEASURE())
TAB_Inventory_Insights;A_Inventory;M_Impressions;M_Functional;Button^^Numeric
TAB_Inventory_Insights;A_Inventory;M_Clicks;M_Functional;Button^^Numeric
TAB_Inventory_Insights;A_Inventory;M_Ad_Requests;M_Functional;Button^^Numeric
TAB_Inventory_Insights;A_Inventory;M_Code_Served;M_Functional;Button^^Numeric
TAB_Inventory_Insights;A_Inventory;M_Fill_Rate;M_Functional;Button^^Percent
TAB_Inventory_Insights;A_Inventory;M_Click-Through_Rate;M_Functional;Button^^Percent
TAB_Inventory_Insights;A_Inventory;M_Render_Rate;M_Functional;Button^^Percent
TAB_Inventory_Insights;A_Inventory;M_Delivery_Rate;M_Functional;Button^^Percent
TAB_Inventory_Insights;A_Inventory;M_Viewable_Impressions;M_Functional;Button^^Numeric
TAB_Inventory_Insights;A_Inventory;M_Viewability_Rate;M_Functional;Button^^Percent
TAB_Inventory_Insights;N/A;Impressions_Hourly;M_Analytics;^^SWITCH(TRUE(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_1]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_1]))),BLANK(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_2]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_2]))),BLANK(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_3]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_3]))),BLANK(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_4]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_4]))),BLANK(), AND(ISINSCOPE(A_Inventory_Hourly[Ad_Unit_5]),ISBLANK(VALUES(A_Inventory_Hourly[Ad_Unit_5]))),BLANK(), SELECTEDMEASURE())
TAB_Inventory_Insights;A_Inventory_Hourly;M_Impressions_Hourly_Base;M_Statistics;1,2,3,4^^1,2,3,4^^Hourly
TAB_Inventory_Insights;FP_Perspectives;N/A;M_FieldParameters;M_Impressions,M_Viewable_Impressions,M_Clicks,M_Ad_Requests,M_Code_Served,M_Fill_Rate,M_Click-Through_Rate,M_Render_Rate,M_Delivery_Rate,M_Viewability_Rate
TAB_KeyValues;A_KeyValues;Requests;M_Summarization;Numeric
TAB_KeyValues;N/A;Requests;M_Analytics;
TAB_Delivery;F_Delivery;Clicks;M_Summarization;Numeric
TAB_Delivery;F_Delivery;Impressions;M_Summarization;Numeric
TAB_Delivery;F_Delivery;Requests;M_Summarization;Numeric
TAB_Delivery;F_Delivery;Revenue;M_Summarization;Numeric
TAB_Delivery;N/A;Click-Through_Rate;M_Custom;DIVIDE([M_Clicks],[M_Impressions])
TAB_Delivery;N/A;Fill-Trough_Rate;M_Custom;DIVIDE([M_Impressions],[M_Requests])
TAB_Delivery;N/A;Clicks;M_Analytics;
TAB_Delivery;N/A;Impressions;M_Analytics;
TAB_Delivery;N/A;Requests;M_Analytics;
TAB_Delivery;N/A;Revenue;M_Analytics;
TAB_Delivery;N/A;Click-Through_Rate;M_Analytics;
TAB_Delivery;N/A;Fill-Trough_Rate;M_Analytics;
TAB_Pipeline_Delivery;F_Revenue;Revenue;M_Summarization;Numeric
TAB_Pipeline_Delivery;F_Offertes;Offerte;M_Summarization;Numeric
TAB_Pipeline_Delivery;F_Targets;Target;M_Summarization;Numeric
TAB_Pipeline_Delivery;N/A;Pipeline;M_Custom;CALCULATE(SUM(F_Offertes[Pipeline]), LOWER(F_Offertes[Status ]) = "pending")
TAB_Pipeline_Delivery;N/A;Revenue_+_Pipeline;M_Custom;[M_Revenue] + [M_Pipeline]
TAB_Pipeline_Delivery;N/A;Result;M_Custom;IF(NOT ISBLANK([M_Target]), [M_Revenue_+_Pipeline] - [M_Target])
TAB_Pipeline_Delivery;N/A;Revenue;M_Analytics;PY
TAB_Pipeline_Delivery;N/A;Offerte;M_Analytics;PY
TAB_Pipeline_Delivery;N/A;Pipeline;M_Analytics;PY
TAB_Pipeline_Delivery;N/A;Target;M_Analytics;PY
TAB_Pipeline_Delivery;N/A;Revenue_+_Pipeline;M_Analytics;PY
TAB_Pipeline_Delivery;N/A;Result;M_Analytics;
TAB_Pipeline_Delivery;F_Revenue;M_Revenue;M_Functional;Cards
TAB_Pipeline_Delivery;F_Offertes;M_Offerte;M_Functional;Cards
TAB_Pipeline_Delivery;F_Offertes;M_Pipeline;M_Functional;Cards
TAB_Pipeline_Delivery;F_Targets;M_Target;M_Functional;Cards
TAB_Segment_Insights;F_Traffic_Daily;events_last_1_day;M_Summarization;Numeric
TAB_Segment_Insights;F_Traffic_Daily;events_last_30_days;M_Summarization;Numeric
TAB_Segment_Insights;F_Traffic_Daily;events_last_7_days;M_Summarization;Numeric
TAB_Segment_Insights;F_Traffic_Daily;events_last_90_days;M_Summarization;Numeric
TAB_Segment_Insights;F_Traffic_Daily;unique_users_last_1_day;M_Summarization;Numeric
TAB_Segment_Insights;F_Traffic_Daily;unique_users_last_30_days;M_Summarization;Numeric
TAB_Segment_Insights;F_Traffic_Daily;unique_users_last_7_days;M_Summarization;Numeric
TAB_Segment_Insights;F_Traffic_Daily;unique_users_last_90_days;M_Summarization;Numeric
TAB_Segment_Insights;F_Traffic_Monthly;unique_users;M_Summarization;Numeric
TAB_Segment_Insights;F_Traffic_Monthly;events;M_Summarization;Numeric
TAB_Segment_Insights;F_Profiles;18-24;M_Summarization;Numeric
TAB_Segment_Insights;F_Profiles;25-34;M_Summarization;Numeric
TAB_Segment_Insights;F_Profiles;35-44;M_Summarization;Numeric
TAB_Segment_Insights;F_Profiles;45-54;M_Summarization;Numeric
TAB_Segment_Insights;F_Profiles;55-64;M_Summarization;Numeric
TAB_Segment_Insights;F_Profiles;65+;M_Summarization;Numeric
TAB_Segment_Insights;F_Profiles;female;M_Summarization;Numeric
